,title,company,location,summary
27,Assistant commercial / Assistante commerciale,ESPACE MASSAR,"Akouda, Sousse",Référence : 5130/2023/1485 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   ESPACE MASSAR   Adresse :   DIMASS AKOUDA   Région :   SOUSSE   Code postal : 4022  …
28,Caissier / Caissière,HOTEL HASDRUBAL THALASSA,"Hammam Sousse, Sousse",Référence : 5130/2023/1481 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   HOTEL HASDRUBAL THALASSA   Adresse :   PORT EL KANTAOUI HAMMAM SOUSSE   Région :   S…
29,Dessinateur / Dessinatrice en architecture navale,STE NAUTILUS ARCHITECTE,"La Marsa, Tunis",Référence : 1140/2023/1791 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE NAUTILUS ARCHITECTE   Adresse :   ROUTE DE GAMMARTH KLM5 LA MARSA   Région :   T…
30,Comptable,COMPTABILITE MAHER BAHI,"Ksar Hellal, Monastir",Référence : 5220/2023/640 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   COMPTABILITE MAHER BAHI   Adresse :   IMB ZARRAD AV H BOURGUIBA KSAR HELLAL   Région …
31,Assistant / Assistante de direction,MONASTIR DIAL SERVICE (NECIB MOHAMED),Monastir,Référence : 5210/2023/1329 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   MONASTIR DIAL SERVICE (NECIB MOHAMED)   Adresse :   R 4 AV DE LA REPUBLIQUE MONASTIR…
32,Responsable management de la qualité,STE LABORATOIRE MEDICKA,"Béni Khalled, Nabeul",Référence : 2120/2023/830 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE LABORATOIRE MEDICKA   Adresse :   ROUTE DE KORBA BENI KHALLED   Région :   NABEUL…
33,Secrétaire médical / médicale,MEDECIN ORTHOPEDISTE MBAREK MEHDI,"Ezzahra, Ben Arous",Référence : 1320/2023/747 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   MEDECIN ORTHOPEDISTE MBAREK MEHDI   Adresse :   AV ENVIRON CENTRE MED BEN NASR EZZAHR…
34,Cuisinier / Cuisinière,HOTEL MEHARI HAMMAMET,"Hammamet, Nabeul",Référence : 2140/2023/1070 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   HOTEL MEHARI HAMMAMET   Adresse :   HAMMAMET SUD   Région :   NABEUL   Code postal :…
35,Chef boucher / bouchère,IMMOB.D'HOTEL.EN TUNISIE SIDHET RADISSON,"Hammamet, Nabeul",Référence : 2140/2023/1079 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   IMMOB.D'HOTEL.EN TUNISIE SIDHET RADISSON   Adresse :   ROUTE TOURISTIQUE AV.HEDI NOU…
36,Architecte d'intérieur,STE ARCHI BEN SLIMAN SARL (DESIGN ET D,"Téboulba, Monastir",Référence : 5240/2023/803 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   STE ARCHI BEN SLIMAN SARL (DESIGN ET D   Adresse :   CITE ENNASR TEBOULBA   Région : …
